_id,review_scores_value,RatingPrediccion_scaled
18386381,10.0,10.0
18134491,8.0,
1821758,9.0,
17693637,10.0,
182139,10.0,
1797689,10.0,
18042541,10.0,
17864201,10.0,
17865057,9.0,5.945878847426259
17670314,10.0,10.0
19018752,10.0,9.369416624059422
1912695,8.0,
1925045,10.0,
1940174,10.0,
20116519,10.0,
20354056,10.0,
20357635,9.0,10.0
20597925,10.0,10.0
20570876,6.0,10.0
20599393,10.0,
2092831,10.0,
2105881,9.0,
20666508,9.0,10.0
20693549,7.0,5.0
20969380,8.0,10.0
21053564,8.0,10.0
2113927,9.0,6.666670000000002
20643726,10.0,10.0
20845825,8.0,
21059755,10.0,9.271402670912977
2085520,9.0,8.194339860756237
2116352,10.0,
21201643,9.0,
2119162,9.0,
2123266,9.0,10.0
21237763,10.0,10.0
2213067,10.0,
21836642,9.0,10.0
2163225,9.0,7.837860615921917
22058660,9.0,9.054121152573744
2187573,10.0,
22384305,9.0,9.045021538970504
2263327,10.0,
22266125,10.0,7.860390576286871
22232299,10.0,9.379926206179244
223200,9.0,
22548261,10.0,8.91881827113939
22420791,10.0,8.890402342923998
22920564,9.0,
23058133,10.0,8.864945383088491
2274454,9.0,
2296225,10.0,
22672234,9.0,9.527060576286871
22950622,9.0,8.571430000000001
22773037,10.0,8.761174318911939
2298271,8.0,
2301710,8.0,6.872603495713371
23085006,9.0,8.986262013764456
2324694,10.0,
2314585,9.0,
2283492,10.0,9.054121152573744
23341918,9.0,7.0038328398278304
2351455,10.0,10.0
23483491,10.0,7.567030779410069
23486555,9.0,8.445878847426261
23300444,9.0,
23832922,10.0,10.0
23572358,6.0,5.675273084557552
23769793,10.0,10.0
23606639,9.0,6.590212113085667
24955954,10.0,8.783515389705034
2422745,10.0,
2464745,9.0,
25189566,10.0,
24182390,9.0,9.301765183342244
2515976,9.0,
25183276,10.0,8.783515389705034
24717812,10.0,
24186376,10.0,10.0
25377740,10.0,10.0
25513422,9.0,
2569326,8.0,10.0
25780094,6.0,8.108242305147485
25911135,10.0,9.391757694852519
26199936,10.0,10.0
26110157,10.0,4.054121152573742
26463049,9.0,9.16667
2683147,10.0,
2681380,9.0,
26607708,6.0,0.0
26816279,9.0,7.837636542278776
27012681,10.0,10.0
2686100,10.0,7.567030779410069
26427671,10.0,10.0
27568440,8.0,10.0
297908,9.0,
2875373,10.0,
2858519,8.0,6.080768765645614
29856236,8.0,10.0
27573376,10.0,10.0
296910,9.0,
2889440,9.0,10.0
29764623,10.0,10.0
2851471,10.0,
2949309,9.0,
2769600,8.0,10.0
2993875,10.0,
30171277,10.0,9.527060576286871
30537041,10.0,10.0
30083901,10.0,7.3515392272064775
30032152,8.0,10.0
30092212,10.0,10.0
30531901,10.0,8.783515389705034
30561422,8.0,10.0
3040870,10.0,
3013098,9.0,
30756696,8.0,10.0
30926186,10.0,10.0
31670584,10.0,10.0
3190976,9.0,
3113661,10.0,10.0
31506064,6.0,3.783515389705034
316355,8.0,
31123905,10.0,9.369416624059422
3208863,9.0,
3147146,9.0,
313223,9.0,
3155979,9.0,
310233,10.0,
31058753,10.0,10.0
3173305,10.0,10.0
3114202,10.0,9.567527308455755
31099467,2.0,0.0
3220673,10.0,
323213,10.0,
3210248,9.0,8.777903624572188
332150,10.0,
336569,9.0,
3448897,9.0,
3374964,9.0,8.360035699948083
3427741,8.0,8.91881827113939
349618,9.0,
3800450,9.0,
3654407,10.0,10.0
3971325,9.0,
369336,9.0,
4088691,10.0,
4074453,10.0,6.216484610294967
4382487,9.0,
4761793,9.0,
4974771,10.0,
4838721,10.0,8.738825681088063
490098,10.0,
564564,9.0,
486337,8.0,10.0
4790136,10.0,
4924343,9.0,10.0
4798749,10.0,9.054121152573744
573086,9.0,
4621190,10.0,
4467174,10.0,
5018276,10.0,10.0
4591790,7.0,8.445878847426261
484267,10.0,
4987188,9.0,
5093778,10.0,10.0
4773338,8.0,
4875052,9.0,
